,City,State,Median_Age,Male_Population,Female_Population,Total_Population,Number_of_Veterans,Foreign-born,Average_household_size,State_code,Race,Count
2695,Daly City,California,39.7,53817.0,52757.0,106574,3782.0,56640.0,3.26,CA,Asian,61918
2696,Norwalk,Connecticut,42.4,40880.0,47603.0,88483,2877.0,22328.0,2.7,CT,Hispanic or Latino,24682
2697,Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,2126.0,28133.0,2.73,MD,American Indian and Alaska Native,672
2698,Southfield,Michigan,41.6,31369.0,41808.0,73177,4035.0,4011.0,2.27,MI,White,18296
2699,Southfield,Michigan,41.6,31369.0,41808.0,73177,4035.0,4011.0,2.27,MI,Asian,1345
2700,San Antonio,Texas,33.1,721405.0,748419.0,1469824,109089.0,208046.0,2.93,TX,Asian,53933
2701,Orem,Utah,26.1,48695.0,45762.0,94457,2828.0,12808.0,3.26,UT,American Indian and Alaska Native,976
2702,Somerville,Massachusetts,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43,MA,Hispanic or Latino,8790
2703,Somerville,Massachusetts,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43,MA,White,62927
2704,Odessa,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX,Asian,2252
2705,Pine Hills,Florida,29.2,35344.0,40737.0,76081,2594.0,20735.0,3.3,FL,Hispanic or Latino,10496
2706,Wilmington,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,White,89270
2707,Allen,Texas,37.2,51324.0,46814.0,98138,3505.0,19649.0,3.04,TX,Asian,15790
2708,Henderson,Nevada,42.5,139412.0,146246.0,285658,25045.0,35666.0,2.55,NV,American Indian and Alaska Native,3036
2709,Arvada,Colorado,41.0,54870.0,60165.0,115035,8930.0,4921.0,2.49,CO,Asian,2922
2710,Arvada,Colorado,41.0,54870.0,60165.0,115035,8930.0,4921.0,2.49,CO,American Indian and Alaska Native,2370
2711,Buffalo,New York,33.1,124537.0,133529.0,258066,11231.0,24630.0,2.27,NY,White,130078
2712,San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,White,40182
2713,Carlsbad,California,42.1,55119.0,58347.0,113466,6031.0,17689.0,2.68,CA,Hispanic or Latino,12969
2714,Jackson,Mississippi,31.7,79039.0,91772.0,170811,8146.0,1789.0,2.65,MS,Black or African-American,139567
2715,Scottsdale,Arizona,46.9,115712.0,121132.0,236844,16798.0,27207.0,2.17,AZ,American Indian and Alaska Native,7003
2716,Clifton,New Jersey,38.5,41932.0,44409.0,86341,2603.0,27979.0,3.11,NJ,American Indian and Alaska Native,2417
2717,San Angelo,Texas,32.8,49669.0,50744.0,100413,8412.0,7859.0,2.5,TX,American Indian and Alaska Native,548
2718,Parma,Ohio,40.8,38425.0,41518.0,79943,5028.0,6909.0,2.42,OH,Hispanic or Latino,5361
2719,Broomfield,Colorado,36.8,31755.0,33310.0,65065,3966.0,5316.0,2.53,CO,Asian,5193
2720,Lowell,Massachusetts,33.4,54422.0,56298.0,110720,3764.0,33414.0,2.8,MA,White,68838
2721,Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,Hispanic or Latino,38674
2722,Brentwood,New York,34.2,31395.0,32397.0,63792,1492.0,27058.0,4.98,NY,Black or African-American,8619
2723,Hemet,California,36.8,38622.0,45251.0,83873,5613.0,13330.0,2.97,CA,Hispanic or Latino,37448
2724,Portland,Oregon,36.7,313516.0,318671.0,632187,29940.0,86041.0,2.43,OR,Asian,64386
2725,Concord,North Carolina,35.7,42732.0,44961.0,87693,4621.0,8847.0,2.72,NC,White,60500
2726,Missoula,Montana,34.7,35002.0,36022.0,71024,4733.0,2771.0,2.15,MT,Black or African-American,1149
2727,Abilene,Texas,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64,TX,Asian,2929
2728,Florence-Graham,California,30.2,34186.0,32173.0,66359,416.0,28696.0,4.57,CA,Hispanic or Latino,60895
2729,Sunnyvale,California,35.7,79480.0,72280.0,151760,3900.0,71441.0,2.74,CA,White,71463
2730,Missoula,Montana,34.7,35002.0,36022.0,71024,4733.0,2771.0,2.15,MT,American Indian and Alaska Native,3618
2731,Warwick,Rhode Island,42.6,39289.0,42409.0,81698,5799.0,5318.0,2.4,RI,White,76999
2732,Spokane,Washington,36.6,102756.0,110511.0,213267,18044.0,13253.0,2.34,WA,American Indian and Alaska Native,7192
2733,Rockville,Maryland,38.1,31205.0,35793.0,66998,1990.0,25047.0,2.6,MD,Hispanic or Latino,9197
2734,Austin,Texas,32.7,475718.0,456122.0,931840,37414.0,181686.0,2.5,TX,American Indian and Alaska Native,10890
2735,Norwalk,Connecticut,42.4,40880.0,47603.0,88483,2877.0,22328.0,2.7,CT,White,67844
2736,Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,2126.0,28133.0,2.73,MD,Asian,13169
2737,Eagan,Minnesota,36.8,31587.0,34701.0,66288,2699.0,8642.0,2.49,MN,American Indian and Alaska Native,684
2738,Nashville,Tennessee,34.1,314231.0,340365.0,654596,27942.0,88193.0,2.39,TN,White,432447
