,City,State,Median_Age,Male_Population,Female_Population,Total_Population,Number_of_Veterans,Foreign-born,Average_household_size,State_code,Race,Count
0,Silver Spring,Maryland,33.8,40601.0,41862.0,82463,1562.0,30908.0,2.6,MD,Hispanic or Latino,25924
1,Quincy,Massachusetts,41.0,44129.0,49500.0,93629,4147.0,32935.0,2.39,MA,White,58723
2,Hoover,Alabama,38.5,38040.0,46799.0,84839,4819.0,8229.0,2.58,AL,Asian,4759
3,Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA,Black or African-American,24437
4,Newark,New Jersey,34.6,138040.0,143873.0,281913,5829.0,86253.0,2.73,NJ,White,76402
5,Peoria,Illinois,33.1,56229.0,62432.0,118661,6634.0,7517.0,2.4,IL,American Indian and Alaska Native,1343
6,Avondale,Arizona,29.1,38712.0,41971.0,80683,4815.0,8355.0,3.18,AZ,Black or African-American,11592
7,West Covina,California,39.8,51629.0,56860.0,108489,3800.0,37038.0,3.56,CA,Asian,32716
8,O'Fallon,Missouri,36.0,41762.0,43270.0,85032,5783.0,3269.0,2.77,MO,Hispanic or Latino,2583
9,High Point,North Carolina,35.5,51751.0,58077.0,109828,5204.0,16315.0,2.65,NC,Asian,11060
10,Folsom,California,40.9,41051.0,35317.0,76368,4187.0,13234.0,2.62,CA,Hispanic or Latino,5822
11,Folsom,California,40.9,41051.0,35317.0,76368,4187.0,13234.0,2.62,CA,American Indian and Alaska Native,998
12,Philadelphia,Pennsylvania,34.1,741270.0,826172.0,1567442,61995.0,205339.0,2.61,PA,Asian,122721
13,Wichita,Kansas,34.6,192354.0,197601.0,389955,23978.0,40270.0,2.56,KS,Hispanic or Latino,65162
14,Wichita,Kansas,34.6,192354.0,197601.0,389955,23978.0,40270.0,2.56,KS,American Indian and Alaska Native,8791
15,Fort Myers,Florida,37.3,36850.0,37165.0,74015,4312.0,15365.0,2.45,FL,White,50169
16,Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,17728.0,28187.0,2.13,PA,White,208863
17,Laredo,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX,American Indian and Alaska Native,1253
18,Berkeley,California,32.5,60142.0,60829.0,120971,3736.0,25000.0,2.35,CA,Asian,27089
19,Santa Clara,California,35.2,63278.0,62938.0,126216,4426.0,52281.0,2.75,CA,White,55847
20,Allen,Pennsylvania,33.5,60626.0,59581.0,120207,5691.0,19652.0,2.67,PA,Black or African-American,22304
21,Hampton,Virginia,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48,VA,Black or African-American,70303
22,Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,2951.0,15212.0,3.42,IL,American Indian and Alaska Native,323
23,Frederick,Maryland,36.1,33146.0,36336.0,69482,3870.0,14211.0,2.48,MD,White,49181
24,Sparks,Nevada,36.1,47780.0,48318.0,96098,7315.0,15690.0,2.63,NV,Hispanic or Latino,29159
25,Rancho Cordova,California,33.8,34844.0,36182.0,71026,4590.0,17020.0,2.86,CA,Asian,12653
26,Westminster,Colorado,37.8,54866.0,58251.0,113117,6512.0,11361.0,2.63,CO,Hispanic or Latino,23355
27,Lakewood,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO,Hispanic or Latino,33630
28,Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,White,44786
29,New Haven,Connecticut,29.9,63765.0,66545.0,130310,2567.0,25871.0,2.48,CT,American Indian and Alaska Native,2205
30,Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,3506.0,17490.0,2.85,MN,White,41760
31,Chula Vista,California,34.6,131485.0,134269.0,265754,12368.0,82710.0,3.32,CA,Hispanic or Latino,156522
32,Danbury,Connecticut,37.3,43435.0,41227.0,84662,3752.0,25675.0,2.74,CT,Black or African-American,8454
33,Framingham,Massachusetts,40.3,35442.0,35768.0,71210,2625.0,19070.0,2.49,MA,Black or African-American,6944
34,Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,20247.0,28567.0,2.42,FL,White,179121
35,Miami Gardens,Florida,34.9,50719.0,62480.0,113199,2327.0,33394.0,3.75,FL,Black or African-American,85300
36,Salt Lake City,Utah,32.1,98364.0,94296.0,192660,6829.0,32166.0,2.38,UT,Asian,13153
37,Suffolk,Virginia,38.2,43048.0,45113.0,88161,10114.0,2829.0,2.72,VA,Black or African-American,39107
38,North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,4130.0,2787.0,2.62,AR,Hispanic or Latino,4860
39,Jurupa Valley,California,33.8,49430.0,50884.0,100314,3833.0,25338.0,3.87,CA,White,58201
40,Los Angeles,California,35.0,1958998.0,2012898.0,3971896,85417.0,1485425.0,2.86,CA,White,2177650
41,Flower Mound,Texas,40.2,35200.0,35824.0,71024,4217.0,6860.0,3.01,TX,Hispanic or Latino,6149
42,Vacaville,California,35.8,50091.0,46703.0,96794,9064.0,10577.0,2.9,CA,Black or African-American,18023
43,Clarksville,Tennessee,29.7,75029.0,74161.0,149190,20803.0,8211.0,2.64,TN,American Indian and Alaska Native,2338
44,New Britain,Connecticut,33.4,37350.0,35459.0,72809,2219.0,15080.0,2.52,CT,White,56431
45,Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,24672.0,43751.0,2.37,OK,Black or African-American,72643
46,Seattle,Washington,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13,WA,Hispanic or Latino,43060
47,Mesa,Arizona,36.9,234998.0,236835.0,471833,31808.0,57492.0,2.68,AZ,American Indian and Alaska Native,16044
48,Yonkers,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY,Hispanic or Latino,73608
49,Camden,New Jersey,27.9,36437.0,39694.0,76131,1425.0,11317.0,3.0,NJ,White,19907
50,Alexandria,Virginia,36.6,74989.0,78522.0,153511,10635.0,44030.0,2.2,VA,American Indian and Alaska Native,1133
51,Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,3682.0,3222.0,2.44,AR,Black or African-American,14599
52,El Monte,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA,Black or African-American,307
53,Roswell,Georgia,38.8,48637.0,45859.0,94496,3325.0,16501.0,2.7,GA,Asian,7240
54,Omaha,Nebraska,34.2,218789.0,225098.0,443887,24503.0,48263.0,2.47,NE,Hispanic or Latino,63516
55,Omaha,Nebraska,34.2,218789.0,225098.0,443887,24503.0,48263.0,2.47,NE,Black or African-American,64223
56,Troy,Michigan,43.3,42371.0,40905.0,83276,2975.0,21004.0,2.59,MI,American Indian and Alaska Native,1677
57,Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,14521.0,24302.0,2.47,NC,American Indian and Alaska Native,1415
58,Corpus Christi,Texas,35.0,160488.0,163594.0,324082,25078.0,30834.0,2.69,TX,White,292663
59,Atlanta,Georgia,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15,GA,American Indian and Alaska Native,4606
60,Bryan,Texas,29.4,41761.0,40345.0,82106,3602.0,12014.0,2.55,TX,Black or African-American,11914
61,Lynchburg,Virginia,28.7,38614.0,41198.0,79812,4322.0,4364.0,2.48,VA,Black or African-American,23271
62,Columbia,Maryland,37.9,52202.0,51265.0,103467,6526.0,23249.0,2.68,MD,Black or African-American,30075
63,Killeen,Texas,29.2,69442.0,71367.0,140809,24281.0,15769.0,2.72,TX,American Indian and Alaska Native,2362
64,Nashville,Tennessee,34.1,314231.0,340365.0,654596,27942.0,88193.0,2.39,TN,Hispanic or Latino,67526
65,Somerville,Massachusetts,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43,MA,Asian,9498
66,Bakersfield,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,American Indian and Alaska Native,7357
67,Montgomery,Alabama,35.4,94582.0,106004.0,200586,14955.0,9337.0,2.41,AL,White,73545
68,Huntsville,Alabama,38.1,91764.0,97350.0,189114,16637.0,12691.0,2.18,AL,American Indian and Alaska Native,1755
69,Greensboro,North Carolina,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36,NC,Black or African-American,124108
70,Turlock,California,36.2,33190.0,39103.0,72293,3397.0,14686.0,2.76,CA,Asian,5232
71,Lynwood,California,29.4,35634.0,36371.0,72005,776.0,28061.0,4.43,CA,Asian,994
72,El Paso,Texas,33.1,332797.0,348339.0,681136,47693.0,159709.0,3.03,TX,American Indian and Alaska Native,7359
73,Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,16661.0,28613.0,2.34,KY,American Indian and Alaska Native,3187
74,Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,4755.0,2413.0,2.29,SC,Hispanic or Latino,2845
75,Richardson,Texas,35.5,54676.0,56151.0,110827,4797.0,29579.0,2.83,TX,Black or African-American,13256
76,Waco,Texas,29.3,63452.0,68890.0,132342,10716.0,14235.0,2.57,TX,Black or African-American,29883
77,Waco,Texas,29.3,63452.0,68890.0,132342,10716.0,14235.0,2.57,TX,Asian,4230
78,San Buenaventura,California,37.7,53932.0,55785.0,109717,5980.0,18025.0,2.68,CA,American Indian and Alaska Native,2808
79,Stamford,Connecticut,35.4,64941.0,63936.0,128877,2269.0,44003.0,2.7,CT,Asian,11013
80,Vallejo,California,37.8,58379.0,62890.0,121269,8103.0,30592.0,2.83,CA,American Indian and Alaska Native,1671
81,Denver,Colorado,34.1,341137.0,341408.0,682545,29363.0,113222.0,2.33,CO,Black or African-American,72288
82,Springdale,Arkansas,31.8,36840.0,43614.0,80454,3397.0,19969.0,3.04,AR,American Indian and Alaska Native,547
83,Chino,California,36.5,50989.0,34610.0,85599,4186.0,18666.0,3.62,CA,American Indian and Alaska Native,4790
84,Toms River,New Jersey,43.7,43864.0,43886.0,87750,5042.0,6852.0,2.71,NJ,White,79538
85,Lynn,Massachusetts,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81,MA,Black or African-American,18240
86,Lynn,Massachusetts,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81,MA,Asian,9205
87,Lawton,Oklahoma,31.1,51099.0,45560.0,96659,11572.0,6123.0,2.72,OK,Black or African-American,25767
88,Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX,Hispanic or Latino,90989
89,Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX,Asian,27217
90,Layton,Utah,29.5,37748.0,36394.0,74142,3811.0,4268.0,3.24,UT,Asian,2889
91,Bloomington,Illinois,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34,IL,Asian,6549
92,Newton,Massachusetts,42.3,41985.0,46824.0,88809,1814.0,21692.0,2.71,MA,Black or African-American,2925
93,Clearwater,Florida,47.0,55225.0,57754.0,112979,10631.0,17686.0,2.4,FL,White,97195
94,Clearwater,Florida,47.0,55225.0,57754.0,112979,10631.0,17686.0,2.4,FL,Asian,2434
95,Clearwater,Florida,47.0,55225.0,57754.0,112979,10631.0,17686.0,2.4,FL,American Indian and Alaska Native,867
96,Kenner,Louisiana,36.9,33993.0,33113.0,67106,2485.0,12352.0,2.57,LA,Black or African-American,17172
97,Las Cruces,New Mexico,32.7,47835.0,53809.0,101644,9421.0,11888.0,2.58,NM,Asian,3266
98,Yakima,Washington,34.0,45147.0,48553.0,93700,4705.0,15717.0,2.74,WA,Hispanic or Latino,44172
99,Des Moines,Iowa,34.5,103726.0,106591.0,210317,11780.0,23857.0,2.41,IA,Asian,15205
100,Wichita Falls,Texas,34.0,55775.0,48934.0,104709,7800.0,9855.0,2.41,TX,American Indian and Alaska Native,1503
101,Huntsville,Alabama,38.1,91764.0,97350.0,189114,16637.0,12691.0,2.18,AL,Hispanic or Latino,10887
102,Wilmington,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,Asian,3152
103,Cranston,Rhode Island,39.9,38365.0,42712.0,81077,4702.0,10631.0,2.56,RI,Asian,5978
104,Amarillo,Texas,33.8,99391.0,100260.0,199651,11008.0,21124.0,2.64,TX,White,174214
105,El Paso,Texas,33.1,332797.0,348339.0,681136,47693.0,159709.0,3.03,TX,Asian,12370
106,Buffalo,New York,33.1,124537.0,133529.0,258066,11231.0,24630.0,2.27,NY,Asian,14518
107,Livonia,Michigan,47.4,45369.0,49264.0,94633,5397.0,7175.0,2.52,MI,White,87383
108,San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,Hispanic or Latino,26894
109,Fresno,California,30.0,256130.0,263942.0,520072,18410.0,103453.0,3.12,CA,American Indian and Alaska Native,11380
110,Saint George,Utah,37.3,38732.0,41475.0,80207,4443.0,4824.0,2.81,UT,Black or African-American,1376
112,Redlands,California,36.2,33993.0,37035.0,71028,3445.0,8681.0,2.82,CA,White,55241
113,Chino,California,36.5,50989.0,34610.0,85599,4186.0,18666.0,3.62,CA,Hispanic or Latino,45495
114,Chino,California,36.5,50989.0,34610.0,85599,4186.0,18666.0,3.62,CA,White,44543
115,Thousand Oaks,California,44.8,65113.0,64216.0,129329,6323.0,25330.0,2.79,CA,White,108375
116,Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,American Indian and Alaska Native,4857
117,Provo,Utah,23.6,56231.0,59027.0,115258,2177.0,10925.0,3.28,UT,White,108471
118,Provo,Utah,23.6,56231.0,59027.0,115258,2177.0,10925.0,3.28,UT,American Indian and Alaska Native,1916
119,Newton,Massachusetts,42.3,41985.0,46824.0,88809,1814.0,21692.0,2.71,MA,Hispanic or Latino,4790
120,Tallahassee,Florida,26.2,89390.0,100504.0,189894,9575.0,16720.0,2.38,FL,Hispanic or Latino,13538
121,Aurora,Illinois,31.7,101964.0,101751.0,203715,4988.0,50980.0,3.3,IL,Asian,17190
122,Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,Hispanic or Latino,39981
123,Las Cruces,New Mexico,32.7,47835.0,53809.0,101644,9421.0,11888.0,2.58,NM,White,91201
124,Anaheim,California,33.6,179603.0,171135.0,350738,9796.0,137133.0,3.45,CA,Hispanic or Latino,201593
125,San Marcos,California,35.4,45246.0,47688.0,92934,5189.0,21558.0,3.13,CA,Black or African-American,4447
126,Norwalk,California,35.0,53125.0,54020.0,107145,3027.0,39396.0,3.88,CA,White,46998
127,Fort Worth,Texas,32.6,414126.0,422843.0,836969,39182.0,143404.0,2.88,TX,White,575180
128,Fort Worth,Texas,32.6,414126.0,422843.0,836969,39182.0,143404.0,2.88,TX,American Indian and Alaska Native,7504
129,Cambridge,Massachusetts,31.5,55421.0,54981.0,110402,2495.0,27757.0,2.06,MA,Asian,18441
130,Deerfield Beach,Florida,41.4,37155.0,42614.0,79769,3882.0,23642.0,2.46,FL,White,53037
131,Beaumont,Texas,31.6,57326.0,60784.0,118110,7584.0,10516.0,2.47,TX,American Indian and Alaska Native,908
132,Spring Valley,Nevada,37.0,96808.0,97147.0,193955,10644.0,61072.0,2.79,NV,Black or African-American,29031
133,Spring Valley,Nevada,37.0,96808.0,97147.0,193955,10644.0,61072.0,2.79,NV,Asian,45059
134,Sioux City,Iowa,34.3,38827.0,43949.0,82776,4093.0,7471.0,2.57,IA,White,70513
135,Alafaya,Florida,33.5,39504.0,45760.0,85264,4176.0,15842.0,2.94,FL,White,63666
136,Washington,District of Columbia,33.8,319705.0,352523.0,672228,25963.0,95117.0,2.24,DC,Black or African-American,328786
137,Grand Prairie,Texas,33.1,90811.0,96944.0,187755,7073.0,44888.0,3.18,TX,Black or African-American,54934
138,Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,3116.0,4982.0,2.35,WI,White,66757
139,Miami Beach,Florida,42.5,48090.0,44221.0,92311,2265.0,49908.0,2.1,FL,Asian,2772
140,North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,17256.0,49815.0,3.31,NV,American Indian and Alaska Native,4739
141,Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,3408.0,13177.0,2.44,AR,White,66004
142,Avondale,Arizona,29.1,38712.0,41971.0,80683,4815.0,8355.0,3.18,AZ,Asian,2828
143,Salinas,California,30.4,77765.0,79621.0,157386,4020.0,58693.0,3.72,CA,Asian,11227
144,Springfield,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,Asian,3871
145,O'Fallon,Missouri,36.0,41762.0,43270.0,85032,5783.0,3269.0,2.77,MO,Black or African-American,5136
146,High Point,North Carolina,35.5,51751.0,58077.0,109828,5204.0,16315.0,2.65,NC,Black or African-American,39369
147,Bellingham,Washington,30.7,41286.0,43857.0,85143,4703.0,8713.0,2.44,WA,American Indian and Alaska Native,2056
148,Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,5519.0,9813.0,2.37,WI,Black or African-American,7561
149,Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,2943.0,7645.0,2.64,MN,White,59683
150,Laredo,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX,White,246442
151,Escondido,California,33.3,76551.0,74907.0,151458,8110.0,46298.0,3.27,CA,American Indian and Alaska Native,3151
152,Rockford,Illinois,36.3,71076.0,78270.0,149346,8894.0,18323.0,2.52,IL,Hispanic or Latino,28923
153,Memphis,Tennessee,34.1,312237.0,343523.0,655760,31189.0,43318.0,2.55,TN,Asian,15778
154,Hampton,Virginia,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48,VA,Hispanic or Latino,7513
156,Metairie,Louisiana,41.6,69515.0,76943.0,146458,7187.0,19871.0,2.39,LA,White,124270
157,Tracy,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA,American Indian and Alaska Native,2120
158,Champaign,Illinois,28.7,43326.0,42760.0,86086,3734.0,12261.0,2.25,IL,White,58099
159,West Palm Beach,Florida,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53,FL,White,60648
160,Beaverton,Oregon,35.6,47325.0,49252.0,96577,4645.0,18933.0,2.46,OR,Black or African-American,3100
161,Ogden,Utah,31.3,44323.0,41127.0,85450,5080.0,12791.0,2.68,UT,White,74960
162,Decatur,Illinois,40.4,34646.0,38210.0,72856,5291.0,1224.0,2.23,IL,Hispanic or Latino,1709
163,Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,Hispanic or Latino,2525
164,Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,Black or African-American,55137
165,Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,Asian,657
166,Danbury,Connecticut,37.3,43435.0,41227.0,84662,3752.0,25675.0,2.74,CT,Hispanic or Latino,25145
167,Framingham,Massachusetts,40.3,35442.0,35768.0,71210,2625.0,19070.0,2.49,MA,Hispanic or Latino,13000
168,Pompano Beach,Florida,42.5,56569.0,51202.0,107771,5145.0,32733.0,2.55,FL,Black or African-American,38653
169,Nashua,New Hampshire,38.3,42926.0,45049.0,87975,5532.0,12693.0,2.46,NH,Hispanic or Latino,10511
170,Vancouver,Washington,37.2,82958.0,89895.0,172853,12391.0,21748.0,2.49,WA,Hispanic or Latino,23184
171,Nashville,Tennessee,34.1,314231.0,340365.0,654596,27942.0,88193.0,2.39,TN,Asian,27355
172,Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,24672.0,43751.0,2.37,OK,Hispanic or Latino,61217
173,Seattle,Washington,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13,WA,White,511401
174,Fargo,North Dakota,30.7,60560.0,58690.0,119250,6154.0,9428.0,2.18,ND,Asian,4646
175,El Cajon,California,32.7,54450.0,49238.0,103688,7103.0,31865.0,3.14,CA,Black or African-American,7534
176,Lancaster,California,30.9,80668.0,80445.0,161113,7892.0,17247.0,3.25,CA,Asian,8654
177,Wilmington,Delaware,36.4,32680.0,39277.0,71957,3063.0,3336.0,2.45,DE,Asian,1193
178,Wilmington,Delaware,36.4,32680.0,39277.0,71957,3063.0,3336.0,2.45,DE,American Indian and Alaska Native,414
179,Miramar,Florida,36.6,66157.0,70958.0,137115,3077.0,57179.0,3.41,FL,Black or African-American,65840
180,Riverview,Florida,32.2,44210.0,45536.0,89746,6943.0,12240.0,3.22,FL,American Indian and Alaska Native,726
181,Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,3027.0,14630.0,2.38,IL,Asian,9975
182,Lorain,Ohio,35.6,30844.0,32807.0,63651,4905.0,1531.0,2.52,OH,American Indian and Alaska Native,904
183,Mesquite,Texas,34.6,69240.0,75884.0,145124,6438.0,26755.0,2.96,TX,White,98597
184,Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4219.0,4454.0,2.49,WI,Black or African-American,3407
185,Johns Creek,Georgia,39.0,40282.0,43057.0,83339,1983.0,29000.0,3.19,GA,Asian,24289
186,Nampa,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,American Indian and Alaska Native,2167
187,Omaha,Nebraska,34.2,218789.0,225098.0,443887,24503.0,48263.0,2.47,NE,Asian,19105
188,Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,Black or African-American,8054
189,Tacoma,Washington,37.7,100914.0,107036.0,207950,19040.0,31863.0,2.48,WA,Black or African-American,30914
190,Manchester,New Hampshire,37.3,54845.0,55378.0,110223,5473.0,14506.0,2.4,NH,Hispanic or Latino,11962
191,Overland Park,Kansas,38.2,93355.0,93156.0,186511,10461.0,21407.0,2.41,KS,White,161153
192,Cicero,Illinois,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89,IL,Asian,1193
193,Weston,Florida,38.6,32956.0,36991.0,69947,1507.0,30876.0,3.34,FL,Black or African-American,3697
194,Meridian,Idaho,38.0,43353.0,47400.0,90753,5640.0,8110.0,2.54,ID,Asian,2693
195,Meridian,Idaho,38.0,43353.0,47400.0,90753,5640.0,8110.0,2.54,ID,American Indian and Alaska Native,492
196,Salt Lake City,Utah,32.1,98364.0,94296.0,192660,6829.0,32166.0,2.38,UT,American Indian and Alaska Native,3488
197,Trenton,New Jersey,33.3,42581.0,41650.0,84231,2604.0,20428.0,3.04,NJ,Asian,1437
198,Temecula,California,34.2,54407.0,57619.0,112026,7587.0,18884.0,3.34,CA,Black or African-American,5698
199,Saint Charles,Missouri,34.9,32054.0,36747.0,68801,4371.0,5274.0,2.33,MO,White,58662
200,Antioch,California,34.0,54733.0,55809.0,110542,5681.0,24942.0,3.31,CA,White,51151
201,Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,24672.0,43751.0,2.37,OK,White,279127
202,Eugene,Oregon,33.4,79071.0,84377.0,163448,8896.0,14503.0,2.34,OR,Asian,11073
203,Edinburg,Texas,29.3,39422.0,45079.0,84501,2409.0,16569.0,3.31,TX,Hispanic or Latino,74698
204,Huntington Beach,California,41.6,99967.0,101960.0,201927,10454.0,35368.0,2.67,CA,Hispanic or Latino,42303
205,Torrance,California,41.2,73209.0,75259.0,148468,8459.0,43096.0,2.7,CA,Black or African-American,5906
206,Fargo,North Dakota,30.7,60560.0,58690.0,119250,6154.0,9428.0,2.18,ND,Hispanic or Latino,3567
207,South Bend,Indiana,32.4,50483.0,53274.0,103757,3708.0,8779.0,2.72,IN,Asian,1788
208,Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,4704.0,6295.0,2.46,PA,White,64526
209,El Cajon,California,32.7,54450.0,49238.0,103688,7103.0,31865.0,3.14,CA,American Indian and Alaska Native,1891
210,Lakewood,California,39.9,41523.0,40069.0,81592,4094.0,18274.0,3.13,CA,Hispanic or Latino,24987
211,Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4219.0,4454.0,2.49,WI,American Indian and Alaska Native,835
212,Birmingham,Alabama,35.6,102122.0,112789.0,214911,13212.0,8258.0,2.21,AL,Asian,1500
213,Hawthorne,California,33.7,43682.0,44762.0,88444,2123.0,32107.0,2.97,CA,American Indian and Alaska Native,906
214,Boca Raton,Florida,47.3,44760.0,48466.0,93226,4367.0,21117.0,2.22,FL,White,80781
215,Vista,California,29.3,50680.0,50204.0,100884,4957.0,23271.0,3.52,CA,Black or African-American,5164
216,Brockton,Massachusetts,35.2,46273.0,49041.0,95314,3036.0,27313.0,2.88,MA,American Indian and Alaska Native,881
217,New Rochelle,New York,40.6,38871.0,40967.0,79838,2780.0,26960.0,2.85,NY,White,44435
218,Greensboro,North Carolina,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36,NC,Hispanic or Latino,22147
219,Dearborn,Michigan,33.5,46482.0,48698.0,95180,3163.0,23920.0,3.04,MI,White,88742
220,Charleston,South Carolina,35.0,63956.0,71568.0,135524,9368.0,5767.0,2.4,SC,Asian,2773
221,Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,1131.0,63413.0,3.18,NJ,Black or African-American,29822
222,Syracuse,New York,30.3,69462.0,74690.0,144152,5845.0,17733.0,2.39,NY,Asian,9386
223,San Buenaventura,California,37.7,53932.0,55785.0,109717,5980.0,18025.0,2.68,CA,Hispanic or Latino,38463
224,Redding,California,38.8,42530.0,49049.0,91579,6926.0,5181.0,2.42,CA,Asian,5271
225,Buffalo,New York,33.1,124537.0,133529.0,258066,11231.0,24630.0,2.27,NY,Hispanic or Latino,29656
226,Scottsdale,Arizona,46.9,115712.0,121132.0,236844,16798.0,27207.0,2.17,AZ,Asian,11555
227,Glendale,Arizona,34.4,116795.0,123319.0,240114,13241.0,44133.0,2.89,AZ,White,202539
228,Saint George,Utah,37.3,38732.0,41475.0,80207,4443.0,4824.0,2.81,UT,Hispanic or Latino,10829
229,Fishers,Indiana,34.5,42161.0,43910.0,86071,2469.0,6138.0,2.8,IN,Hispanic or Latino,3409
230,Waldorf,Maryland,33.6,35640.0,39872.0,75512,6932.0,5954.0,2.69,MD,Hispanic or Latino,4810
231,Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,White,73022
232,Las Vegas,Nevada,37.5,310568.0,313201.0,623769,42397.0,127609.0,2.79,NV,American Indian and Alaska Native,8456
233,Victoria,Texas,35.8,32290.0,35291.0,67581,5000.0,4480.0,2.7,TX,White,58798
234,Victoria,Texas,35.8,32290.0,35291.0,67581,5000.0,4480.0,2.7,TX,Asian,2032
235,Anchorage,Alaska,32.2,152945.0,145750.0,298695,27492.0,33258.0,2.77,AK,Hispanic or Latino,27261
236,San Diego,California,34.5,693826.0,701081.0,1394907,92489.0,373842.0,2.73,CA,White,949388
237,Dayton,Ohio,32.8,66631.0,73966.0,140597,8465.0,7381.0,2.26,OH,Asian,1885
238,Glendale,California,42.1,98181.0,102844.0,201025,4448.0,111510.0,2.69,CA,White,146718
239,Anaheim,California,33.6,179603.0,171135.0,350738,9796.0,137133.0,3.45,CA,Black or African-American,9775
240,Des Moines,Iowa,34.5,103726.0,106591.0,210317,11780.0,23857.0,2.41,IA,Black or African-American,26353
241,Auburn,Washington,37.1,36837.0,39743.0,76580,5401.0,14842.0,2.73,WA,Asian,12341
242,Peoria,Arizona,36.9,80139.0,91103.0,171242,13019.0,14260.0,2.97,AZ,Hispanic or Latino,41129
243,Charlotte,North Carolina,34.3,396646.0,430475.0,827121,36046.0,128897.0,2.52,NC,Hispanic or Latino,113731
244,Gulfport,Mississippi,35.1,33108.0,38764.0,71872,6646.0,3072.0,2.54,MS,Black or African-American,27799
245,Abilene,Texas,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64,TX,American Indian and Alaska Native,1813
246,Centreville,Virginia,36.0,34749.0,37033.0,71782,3779.0,27797.0,2.97,VA,Asian,25058
247,Pleasanton,California,41.3,36662.0,42857.0,79519,2424.0,23208.0,2.87,CA,Black or African-American,1919
248,Atlanta,Georgia,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15,GA,Asian,24268
249,Saint Charles,Missouri,34.9,32054.0,36747.0,68801,4371.0,5274.0,2.33,MO,American Indian and Alaska Native,681
